product,rating,rating count,price,product url
"Christopher Knight Home Oxbow Side Table, Grey + Light Walnut  ",3.0 out of 5 stars,1  ,99.39,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTM3NDQ0NjQ5NTA2OTAwOjE2NjQ5NjA1MDQ6c3BfbXRmOjIwMDA3NjY5ODQ5Nzg0MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FChristopher-Knight-Home-Oxbow-Walnut%2Fdp%2FB08YQNDHNY%2Fref%3Dsr_1_19_sspa%3Fkeywords%3Dtable%26qid%3D1664960504%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-19-spons%26psc%3D1
"Avanti Linens Botanic Garden 60X102 Table Cloth, Ivory  ",5.0 out of 5 stars,5  ,51.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTM3NDQ0NjQ5NTA2OTAwOjE2NjQ5NjA1MDQ6c3BfbXRmOjIwMDA2MzQzMDU2NDI5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FAvanti-Linens-Botanic-Garden-60X102%2Fdp%2FB0044Y9C0C%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dtable%26qid%3D1664960504%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-20-spons%26psc%3D1
"KidKraft Double-Sided Wooden Train and Activity Table with Built-In Storage Drawer, Natural ,Gift for Ages 3+  ",4.2 out of 5 stars,"1,510  ",79.99,https://amazon.com/KidKraft-Double-Sided-Activity-Storage-Natural/dp/B01EGW44OK/ref=sr_1_27?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-27
"VECELO 3-Piece Dining Room Wooden Kitchen Table and Pu Cushion Chair Sets for Small Space, Retro Brown  ",4.4 out of 5 stars,"4,285  ",137.99,https://amazon.com/VECELO-3-Piece-Dining-Kitchen-Cushion/dp/B08H4P61CX/ref=sr_1_28?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-28
"TIKI Brand 1121120 Lantern Table Torch, Black  ",4.6 out of 5 stars,73  ,39.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTM3NDQ0NjQ5NTA2OTAwOjE2NjQ5NjA1MDQ6c3BfbXRmOjIwMDA1NTQ2NjA0MDM5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FTIKI-Brand-1121120-Lantern-Table%2Fdp%2FB09MV87K8N%2Fref%3Dsr_1_29_sspa%3Fkeywords%3Dtable%26qid%3D1664960504%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-29-spons%26psc%3D1
"Deco 79 Metal Round Accent Table, 19"" x 19"" x 27"", White  ",4.4 out of 5 stars,78  ,93.85,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTM3NDQ0NjQ5NTA2OTAwOjE2NjQ5NjA1MDQ6c3BfbXRmOjIwMDA0OTI5NTQ3ODY5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FDeco-79-Coastal-Nautical-Decorative%2Fdp%2FB09F95G6N6%2Fref%3Dsr_1_30_sspa%3Fkeywords%3Dtable%26qid%3D1664960504%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-30-spons%26psc%3D1
WORX WX051 Pegasus Folding Work Table & Sawhorse  ,4.8 out of 5 stars,"10,947  ",128.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTM3NDQ0NjQ5NTA2OTAwOjE2NjQ5NjA1MDQ6c3BfbXRmOjIwMDA0OTA5NTYzOTU2MTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FPegasus-Multi-Function-Sawhorse-Clamps-Holding%2Fdp%2FB01HREBZ3M%2Fref%3Dsr_1_31_sspa%3Fkeywords%3Dtable%26qid%3D1664960504%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-31-spons%26psc%3D1
"Deco 79 Metal Round Accent Table with Oar Shaped Legs, 16"" x 16"" x 28"", White  ",4.6 out of 5 stars,104  ,75.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo1MTM3NDQ0NjQ5NTA2OTAwOjE2NjQ5NjA1MDQ6c3BfbXRmOjIwMDA0OTI5NTQzOTk5ODo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FDeco-79-Metal-Table-White%2Fdp%2FB01N80ZUNA%2Fref%3Dsr_1_32_sspa%3Fkeywords%3Dtable%26qid%3D1664960504%26qu%3DeyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%253D%253D%26sr%3D8-32-spons%26psc%3D1
"Modern Baby Changing Table with Laundry Hamper, 3 Storage Baskets, and Pad  ",4.5 out of 5 stars,"2,034  ",110.0,https://amazon.com/Modern-Changing-Laundry-Storage-Baskets/dp/B005OSHTSO/ref=sr_1_46?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-46
"Delta Children MySize Kids Wood Table and Chair Set (2 Chairs Included) - Ideal for Arts & Crafts, Snack Time, Homeschooling, Homework & More - Greenguard Gold Certified, Grey  ",4.6 out of 5 stars,"5,691  ",64.99,https://amazon.com/Delta-Children-MySize-Chairs-Included/dp/B076MR5C4L/ref=sr_1_50?keywords=table&qid=1664960504&qu=eyJxc2MiOiI5LjI3IiwicXNhIjoiOC43OSIsInFzcCI6IjcuNzEifQ%3D%3D&sr=8-50
