product,rating,rating count,price,product url
Jack Wolfskin Women's Norrland 3-in-1 W Waterproof Insulated Jacket  ,4.5 out of 5 stars,170  ,149.29,https://amazon.com/sspa/click?ie=UTF8&spc=MTozMjIxNzcxOTI1NjU5NzI1OjE2NjQ5NTgzNjY6c3BfbXRmOjIwMDA2ODQxNjEzNDMzMTo6MDo6&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FJack-Wolfskin-Norrland-Waterproof-Insulated%2Fdp%2FB07DMJ38XS%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1664958366%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-17-spons%26psc%3D1
Amazon Essentials Men's Lightweight Water-Resistant Packable Puffer Jacket  ,4.5 out of 5 stars,"20,540  ",33.9,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07C8XSWF9/ref=sr_1_18?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-18
Amazon Essentials Women's Lightweight Long-Sleeve Water-Resistant Puffer Jacket (Available in Plus Size)  ,4.5 out of 5 stars,"12,880  ",43.9,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07BMLQYRT/ref=sr_1_19?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-19
Columbia Women's Copper Crest Hooded Jacket  ,4.7 out of 5 stars,"1,938  ",78.73,https://amazon.com/Columbia-Womens-Copper-Hooded-Jacket/dp/B07K7L8SFJ/ref=sr_1_20?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-20
Amazon Essentials Girls and Toddlers' Lightweight Water-Resistant Packable Hooded Puffer Jacket  ,4.6 out of 5 stars,"6,064  ",39.4,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07Q394Z77/ref=sr_1_22?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-22
Carhartt Men's Loose Fit Firm Duck Insulated Flannel-Lined Active Jacket  ,4.7 out of 5 stars,"17,968  ",109.99,https://amazon.com/Carhartt-Quilted-Flannel-Active-Jacket/dp/B00TEQ4476/ref=sr_1_23?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-23
Columbia Women's Benton Springs Full Zip  ,4.7 out of 5 stars,"49,010  ",44.99,https://amazon.com/Columbia-Womens-Benton-Springs-Classic/dp/B003NX8D8W/ref=sr_1_25?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-25
Arctix Boys Ronan Insulated Winter Jacket  ,4.6 out of 5 stars,739  ,38.6,https://amazon.com/Arctix-Insulated-Winter-Jacket-Vintage/dp/B082YLWT96/ref=sr_1_26?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-26
Amazon Essentials Women's Classic-Fit Long-Sleeve Full-Zip Polar Soft Fleece Jacket  ,4.5 out of 5 stars,"35,977  ",31.3,https://amazon.com/Amazon-Essentials-Full-Zip-Charcoal-Buffalo/dp/B08W3BX3SF/ref=sr_1_27?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-27
Columbia Women's Heavenly Long Hooded Jacket  ,4.7 out of 5 stars,"5,205  ",94.87,https://amazon.com/Columbia-Womens-Heavenly-Hooded-Jacket/dp/B01N48I4ZV/ref=sr_1_28?keywords=winter+jacket&qid=1664958366&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-28
